run,track,mode,cell_type,n_cells,av_cells,miss_usd,over_usd,under_usd,track_av_base,coverage_share
anchored,com,anchor_qa,Commercial area,11,26354835349,69516.8999963068,69516.899998126,-0.00000181926292379744,94747904442,0.278157448486189
anchored,com,anchor_qa,Commercial specialty,3,3189408400,13284.4999992188,13284.4999992188,0,94747904442,0.033662046868302
anchored,com,model_rows,Commercial area,1,56811500,14841222.12,14841222.12,0,94747904442,0.00059960692887701
anchored,com,model_rows,Commercial specialty,3,37876759554,435481162.241027,435481162.241027,0,94747904442,0.39976355970159
anchored,condo,model_rows,Condo area,5,17665258703,1444480183.09619,1444480183.09619,0,19618996108,0.900416035853979
anchored,res,model_rows,Residential area,22,141523746585.373,6784716091.50001,6784716091.50001,0,168735040325.282,0.838733592693893
