mode,track,kind,level,key,n_parcels,av_base,pred_total,pred_land,pred_imps,share_report,share_model,run,scenario,act_total,act_land,act_imps,act_prev,act_n,nbhds,area_name,err_total,err_land,err_imps,miss_usd,n_parcels_all,av_base_all,coverage_ratio,coverage_basis,count_ratio,coverage_flag,cell_type,cell_label,actual_scope,mode_lab,pred_total_baseline,pred_total_optimistic,pred_total_pessimistic,pred_total_min,pred_total_max,scen_inverted,spec_root,tiny,in_summary,is_primary
anchor_qa,res,geo,area,19,6766,6432757703.3095,-0.0140003065559268,-0.014,-0.0140007385660273,1,0,anchored,baseline,-0.014,,,974200,,,,-0.000000306555926766691,,,-1971.99999940362,6774,6437712703.3095,0.975524708623542,panel mean AV / report mean AV,,FALSE,Residential area,Res 19,area report,Anchored parcels (QA),-0.0140003065559268,,,-0.0140003065559268,-0.0140003065559268,,,FALSE,TRUE,FALSE
anchor_qa,res,geo,area,81,5117,5194455417.86011,-0.0180001890477298,-0.0180000000000006,-0.0180003959064337,1,0,anchored,baseline,-0.018,,,1077000,,,,-0.000000189047729821229,,,-982.000004404037,5139,5211032717.86011,0.941519846297102,panel mean AV / report mean AV,,FALSE,Residential area,Res 81,area report,Anchored parcels (QA),-0.0180001890477298,-0.0180000000000007,-0.0180000000000007,-0.0180001890477298,-0.0180000000000007,FALSE,,FALSE,TRUE,FALSE
anchor_qa,res,geo,area,44,4748,5416065190.77067,-0.0260001798353537,-0.0259999999999999,-0.0260004183967363,1,0,anchored,baseline,-0.026,,,1167200,,,,-0.000000179835353743968,,,-973.999999482635,4753,5420187190.77067,0.977014912044057,panel mean AV / report mean AV,,FALSE,Residential area,Res 44,area report,Anchored parcels (QA),-0.0260001798353537,,,-0.0260001798353537,-0.0260001798353537,,,FALSE,TRUE,FALSE
anchor_qa,res,geo,area,46,4621,9318663666.44584,0.0199998905422454,0.02,0.0199997163235259,1,0,anchored,baseline,0.02,,,2050300,,,,-0.00000010945775462054,,,-1020.00000099317,4641,9373968666.44584,0.985132206250239,panel mean AV / report mean AV,,FALSE,Residential area,Res 46,area report,Anchored parcels (QA),0.0199998905422454,,,0.0199998905422454,0.0199998905422454,,,FALSE,TRUE,FALSE
anchor_qa,res,geo,area,14,4708,10271599416.86,-0.006000096771687,-0.00600000000000034,-0.00600024042693648,1,0,anchored,baseline,-0.006,,,2230700,,,,-0.00000009677168700227,,,-994.000003781076,4739,10320404416.86,0.976267518229309,panel mean AV / report mean AV,,FALSE,Residential area,Res 14,area report,Anchored parcels (QA),-0.006000096771687,-0.00600000000000034,-0.00600000000000034,-0.006000096771687,-0.00600000000000034,FALSE,,FALSE,TRUE,FALSE
anchor_qa,res,geo,area,23,7,1781009.87324388,-0.0180000000000009,-0.0180000000000009,-0.018000000000001,1,0,anchored,baseline,-0.018,,,585300,,,,-0.000000000000000905525654459893,,,-0.0000000016127501310687,7,1781009.87324388,0.434700122829289,panel mean AV / report mean AV,,TRUE,Residential area,Res 23,area report,Anchored parcels (QA),-0.0180000000000009,-0.0180000000000008,-0.0180000000000008,-0.0180000000000009,-0.0180000000000008,FALSE,,TRUE,FALSE,FALSE
anchor_qa,res,geo,area,18,6101,3524344734.8125,0.00199999999999911,0.00199999999999911,0.00199999999999911,1,0,anchored,baseline,0.002,,,654800,,,,-0.000000000000000886443696224148,,,-0.0000031241331734953,6142,3536024734.8125,0.879218487352097,panel mean AV / report mean AV,,FALSE,Residential area,Res 18,area report,Anchored parcels (QA),0.00199999999999911,0.00199999999999911,0.00199999999999911,0.00199999999999911,0.00199999999999911,FALSE,,FALSE,TRUE,FALSE
anchor_qa,res,geo,area,11,7060,9454554915.87358,0.00499999999999945,0.00499999999999945,0.00499999999999945,1,0,anchored,baseline,0.005,,,1402900,,,,-0.000000000000000550774703622636,,,-0.00000520732968167421,7077,9465738915.87358,0.953407602658707,panel mean AV / report mean AV,,FALSE,Residential area,Res 11,area report,Anchored parcels (QA),0.00499999999999945,0.00499999999999967,0.00499999999999967,0.00499999999999945,0.00499999999999967,FALSE,,FALSE,TRUE,FALSE
anchor_qa,res,geo,area,48,6020,5397491666.0168,-0.00700000000000045,-0.00700000000000045,-0.00700000000000034,1,0,anchored,baseline,-0.007,,,928500,,,,-0.000000000000000450160742015981,,,-0.0000024297388533992,6030,5405012666.0168,0.965378218585193,panel mean AV / report mean AV,,FALSE,Residential area,Res 48,area report,Anchored parcels (QA),-0.00700000000000045,-0.00700000000000034,-0.00700000000000034,-0.00700000000000045,-0.00700000000000034,FALSE,,FALSE,TRUE,FALSE
anchor_qa,res,geo,area,77,6515,3835317088.00585,0.00300000000000056,0.00300000000000056,0.00300000000000056,1,0,anchored,baseline,0.003,,,632400,,,,0.000000000000000557713597526544,,,0.00000213900849080677,6523,3839720088.00585,0.930808468997855,panel mean AV / report mean AV,,FALSE,Residential area,Res 77,area report,Anchored parcels (QA),0.00300000000000056,0.00300000000000056,0.00300000000000056,0.00300000000000056,0.00300000000000056,FALSE,,FALSE,TRUE,FALSE
