mode,mode_lab,cell_type,component,n_cells,av_base_bn,wtd_bias_pp,wtd_mae_pp,rmse_pp,within_1pp,direction_hit,corr
anchor_qa,Anchored parcels (QA),Commercial area,Total,11,26.354835349,0.000263772848798862,0.000263772848812668,0.000341528205603681,1,1,0.999999999716102
anchor_qa,Anchored parcels (QA),Commercial specialty,Total,3,3.1894084,0.000416519251633588,0.000416519251633588,0.000405790043643122,1,1,0.999999999336073
anchor_qa,Anchored parcels (QA),All reported cells,Total,14,29.544243749,0.000280262377669857,0.000280262377682173,0.000356275710451815,1,1,0.999999999670257
model_rows,Model-sourced parcels (anchored run),Residential area,Total,22,141.523746585373,4.7940478225025,4.7940478225025,5.2033806772066,0,0.181818181818182,0.274124396760874
model_rows,Model-sourced parcels (anchored run),Condo area,Total,5,17.665258703,8.17695459422216,8.17695459422216,8.60971959207901,0,0,0.13346228903504
model_rows,Model-sourced parcels (anchored run),Condo area,Land,5,17.665258703,19.1591761341846,19.1591761341846,24.0487362344403,0,0.4,0.000294582685506328
model_rows,Model-sourced parcels (anchored run),Condo area,Improvements,5,17.665258703,5.57193189589302,6.65564756693414,8.20943346386962,0,0.2,-0.499264861212223
model_rows,Model-sourced parcels (anchored run),Commercial area,Total,1,0.0568115,26.123623069273,26.123623069273,26.123623069273,0,0,
model_rows,Model-sourced parcels (anchored run),Commercial specialty,Total,3,37.876759554,1.14973183389717,1.14973183389717,2.33969679223882,0.333333333333333,1,0.96525230171323
model_rows,Model-sourced parcels (anchored run),All reported cells,Total,31,197.122576342373,4.40310735584249,4.40310735584249,7.32903270728451,0.032258064516129,0.225806451612903,0.43204643041768
model_rows,Model-sourced parcels (anchored run),All reported cells,Land,5,17.665258703,19.1591761341846,19.1591761341846,24.0487362344403,0,0.4,0.000294582685506328
model_rows,Model-sourced parcels (anchored run),All reported cells,Improvements,5,17.665258703,5.57193189589302,6.65564756693414,8.20943346386962,0,0.2,-0.499264861212223
