track,kind,level,key,n_parcels,av_base,pred_total,pred_land,pred_imps,share_report,share_model,run,mode,scenario,act_total,act_land,act_imps,act_prev,act_n,nbhds,area_name,err_total,err_land,err_imps,miss_usd,n_parcels_all,av_base_all,coverage_ratio,coverage_basis,count_ratio,coverage_flag,cell_type,cell_label,actual_scope,mode_lab
com,geo,area,19,86,187752750,0.0294094430397398,0.000900000000000567,0.0677477045972095,0,1,anchored,model_rows,optimistic,0.0009,,,4623849400,,,,0.0285094430397398,,,5352726.33167951,885,2189297500,0.473479413062199,panel matched AV / report total AV,,TRUE,Commercial area,Com 19,area report,Model-sourced parcels (anchored run)
com,geo,area,19,799,2001544750,0.000900871689274441,0.000900000000000345,0.000904706956805112,1,0,anchored,anchor_qa,optimistic,0.0009,,,4623849400,,,,0.000000871689274440637,,,1744.72509088797,885,2189297500,0.473479413062199,panel matched AV / report total AV,,TRUE,Commercial area,Com 19,area report,Anchored parcels (QA)
com,geo,area,19,85,186350650,0.0174718615742977,0.000900000000000567,0.039478898579175,0,1,anchored,model_rows,pessimistic,0.0009,,,4623849400,,,,0.0165718615742977,,,3088177.1760804,885,2189297500,0.473479413062199,panel matched AV / report total AV,,TRUE,Commercial area,Com 19,area report,Model-sourced parcels (anchored run)
com,geo,area,19,800,2002946850,0.000900986166761264,0.000900000000000345,0.000905328482998735,1,0,anchored,anchor_qa,pessimistic,0.0009,,,4623849400,,,,0.000000986166761263998,,,1975.23960804843,885,2189297500,0.473479413062199,panel matched AV / report total AV,,TRUE,Commercial area,Com 19,area report,Anchored parcels (QA)
com,geo,area,20,1,2448000,0.728552557865379,,-0.0647000000000002,0,1,anchored,model_rows,baseline,-0.0647,,,11365040150,,,,0.793252557865379,,,1941882.26165445,703,2562745250,0.225493726038443,panel matched AV / report total AV,,TRUE,Commercial area,Com 20,area report,Model-sourced parcels (anchored run)
com,geo,area,20,702,2560297250,-0.0646996346908546,-0.0646999999999999,-0.0646988543128937,1,0,anchored,anchor_qa,baseline,-0.0647,,,11365040150,,,,0.000000365309145392012,,,935.300000347019,703,2562745250,0.225493726038443,panel matched AV / report total AV,,TRUE,Commercial area,Com 20,area report,Anchored parcels (QA)
com,geo,area,20,34,84078800,0.00443847515954143,0.0139358763093338,-0.00537720123012919,0,1,anchored,model_rows,optimistic,-0.0647,,,11365040150,,,,0.0691384751595414,,,5813080.02524405,703,2562745250,0.225493726038443,panel matched AV / report total AV,,TRUE,Commercial area,Com 20,area report,Model-sourced parcels (anchored run)
com,geo,area,20,669,2478666450,-0.064699320240422,-0.0646999999999999,-0.0646978328387016,1,0,anchored,anchor_qa,optimistic,-0.0647,,,11365040150,,,,0.000000679759577973393,,,1684.89725998881,703,2562745250,0.225493726038443,panel matched AV / report total AV,,TRUE,Commercial area,Com 20,area report,Anchored parcels (QA)
com,geo,area,20,34,84078800,-0.00624231843949497,0.0170194842630997,-0.0302836665901969,0,1,anchored,model_rows,pessimistic,-0.0647,,,11365040150,,,,0.058457681560505,,,4915051.71638939,703,2562745250,0.225493726038443,panel matched AV / report total AV,,TRUE,Commercial area,Com 20,area report,Model-sourced parcels (anchored run)
com,geo,area,20,669,2478666450,-0.0646994481287378,-0.0646999999999999,-0.0646982405631643,1,0,anchored,anchor_qa,pessimistic,-0.0647,,,11365040150,,,,0.000000551871262147174,,,1367.90478220336,703,2562745250,0.225493726038443,panel matched AV / report total AV,,TRUE,Commercial area,Com 20,area report,Anchored parcels (QA)
