subgroup,feature,gain_pct,parcel_lvl,mono,hist_min,hist_max,fc_min,fc_max,n_splits,thr_min,thr_max,sig_monotone,sig_out_of_range,sig_no_splits,n_sig
office,cs_off_vacant_sf,4.7101547532432,FALSE,0.580645161290323,1094551,48559493,22768194,25524249,201,5341903.5,10599184,FALSE,FALSE,TRUE,1
office,cs_off_net_delivered_sf,1.24272043704135,FALSE,0.548387096774194,-12572,3733869,-170455,-24019,223,-1.00000001800251e-35,3216252,FALSE,TRUE,TRUE,2
office,cs_off_occupancy_rate,0.682884495123417,FALSE,0.548387096774194,0.822764250967238,0.985292341974047,0.815337691042158,0.835070961051517,118,0.891639331976573,0.953763571050432,FALSE,FALSE,TRUE,1
office,econ_population_thous_lvl_lag1,0.625845540189594,FALSE,1,2317.76442596637,3293.99567456135,3309.61852850567,3393.49315198473,76,2400.81714928543,3277.54963793865,TRUE,TRUE,TRUE,3
office,econ_seattle_msa_s_p_corelogic_case_shilller_home_price_index_lvl_lag1,0.513304770993555,FALSE,0.774193548387097,96.5298895762196,393.651288142245,382.081125,418.01175,102,112.1874983777,374.014746883575,FALSE,FALSE,TRUE,1
office,cs_off_inventory_sf,0.0793465769993339,FALSE,0.806451612903226,68393120,218829452,108733131,109254814,14,76815289.5,105509352.5,FALSE,FALSE,TRUE,1
retail,econ_population_thous_lvl_lag1,1.23575487023807,FALSE,1,2317.76442596637,3293.99567456135,3309.61852850567,3393.49315198473,93,2370.42354130021,3160.07379106051,TRUE,TRUE,TRUE,3
retail,cs_ret_vacant_sf,0.926742361255198,FALSE,0.52,583297,3135495,1507670,1517849,146,584414,1379622,FALSE,FALSE,TRUE,1
retail,cs_ret_asking_rent_sf,0.67456907297422,FALSE,0.84,22.1933333333333,36.4055555555556,36.3688888888889,39.1033333333333,48,22.9955555555556,36.1233333333333,FALSE,FALSE,TRUE,1
retail,econ_seattle_msa_s_p_corelogic_case_shilller_home_price_index_lvl_lag1,0.578118743095011,FALSE,0.774193548387097,96.5298895762196,393.651288142245,382.081125,418.01175,86,112.1874983777,250.553908596939,FALSE,FALSE,TRUE,1
retail,cs_ret_market_cap_rate,0.478122438008295,FALSE,0.68,0.0551652113596598,0.0759485612312953,0.0498132883674569,0.0524601481027073,85,0.0554660208937195,0.0747802646623718,FALSE,TRUE,TRUE,2
retail,cs_ret_inventory_sf,0.271489760540857,FALSE,0.76,28527011,56885964,28098559,28362587,50,28835583.5,30769636.5,FALSE,TRUE,TRUE,2
retail,cs_ret_asking_rent_index,0.208440844651546,FALSE,0.84,92.8584908379449,151.616221110026,151.653557671441,163.421376546224,18,96.134156121148,149.181406656901,FALSE,TRUE,TRUE,2
retail,cs_ret_asset_value,0.139870783567868,FALSE,0.84,4897582672,21889649312,12960816864,14919942592,19,5394288128,6052975504,FALSE,FALSE,TRUE,1
retail,cs_ret_sale_price_sf,0.0283567600558105,FALSE,0.84,176.856911111111,392.511588888889,455.369744444444,522.292222222222,4,186.893477777778,215.746072222222,FALSE,TRUE,TRUE,2
retail,cs_ret_sale_price_index,0,FALSE,0.84,89.2972853289689,199.263674631292,229.501828920487,263.393430093081,0,,,FALSE,TRUE,FALSE,1
